Patient ID: 84, Timestamp: 1713725222192, Label: ECG, Data: -0.4319649395371195
Patient ID: 34, Timestamp: 1713725222243, Label: ECG, Data: -0.0064083385483988
Patient ID: 64, Timestamp: 1713725222303, Label: ECG, Data: 0.18583197262566564
Patient ID: 27, Timestamp: 1713725222194, Label: ECG, Data: 0.3079765181771208
Patient ID: 50, Timestamp: 1713725222294, Label: ECG, Data: -0.1749007782775279
Patient ID: 69, Timestamp: 1713725222224, Label: ECG, Data: -0.6103503647092849
Patient ID: 83, Timestamp: 1713725222183, Label: ECG, Data: -0.5139185650099783
Patient ID: 45, Timestamp: 1713725222186, Label: ECG, Data: -0.5134925397255848
Patient ID: 26, Timestamp: 1713725222239, Label: ECG, Data: -0.06800168277969884
Patient ID: 59, Timestamp: 1713725222181, Label: ECG, Data: -0.2113205345756522
Patient ID: 15, Timestamp: 1713725222291, Label: ECG, Data: -0.30687788200047833
Patient ID: 5, Timestamp: 1713725222338, Label: ECG, Data: 0.38045404114531184
Patient ID: 38, Timestamp: 1713725222342, Label: ECG, Data: 0.1380564521559963
Patient ID: 37, Timestamp: 1713725222357, Label: ECG, Data: -0.4425797262818939
Patient ID: 32, Timestamp: 1713725222387, Label: ECG, Data: 0.30533845026151474
Patient ID: 18, Timestamp: 1713725222394, Label: ECG, Data: -0.33689635617295843
Patient ID: 11, Timestamp: 1713725222394, Label: ECG, Data: -0.4511706522642365
Patient ID: 85, Timestamp: 1713725222417, Label: ECG, Data: 0.2432125852656615
Patient ID: 4, Timestamp: 1713725222417, Label: ECG, Data: 0.364010353936651
Patient ID: 87, Timestamp: 1713725222417, Label: ECG, Data: 0.2424663735480449
Patient ID: 58, Timestamp: 1713725222417, Label: ECG, Data: 0.0461945053369364
Patient ID: 53, Timestamp: 1713725222418, Label: ECG, Data: 0.6759527483746524
Patient ID: 72, Timestamp: 1713725222418, Label: ECG, Data: 0.19549073033450134
Patient ID: 98, Timestamp: 1713725222418, Label: ECG, Data: -0.3321217081730552
Patient ID: 56, Timestamp: 1713725222418, Label: ECG, Data: 0.6724871723717785
Patient ID: 59, Timestamp: 1713725223187, Label: ECG, Data: -0.1250497978920163
Patient ID: 83, Timestamp: 1713725223187, Label: ECG, Data: 0.41322574786205907
Patient ID: 45, Timestamp: 1713725223187, Label: ECG, Data: -0.3979508406979091
Patient ID: 84, Timestamp: 1713725223190, Label: ECG, Data: -0.5071853956089889
